"","Date","Country","City","Killed","Injured","Description"
"214",2002-05-19,"Israel","Netanya",3,59,"A Palestinian suicide bomber kills three and injures fifty-nine other shoppers at a market."
"215",2002-05-21,"Pakistan","Karachi",1,12,"One person is killed in a sectarian attack on a Shia religious procession."
"216",2002-05-22,"Israel","Rishon Lezion",2,40,"A Palestinian suicide bomber kills two and injures forty people at a shopping mall."
"217",2002-05-22,"India","Kashmir",5,3,"Five people are killed by the Mujahideen in four separate attacks."
"218",2002-05-22,"Pakistan","Gulistan-e-Mustafa",1,0,"A Sunni activist is killed in a sectarian attack."
"219",2002-05-23,"India","Kashmir",2,10,"Two civilians are separately abducted and murdered by the Mujahideen (Kandi, Warpora).  Ten others are injured in a grenade attack at a bus station."
"220",2002-05-24,"India","Kupwara",2,0,"Two civilians are killed in separate attacks by Islamic terrorists (one in captivity)."
"221",2002-05-25,"India","Shopian",9,0,"Nine persons are injured in a grenade attack on a city street."
"222",2002-05-25,"Indonesia","Saparua",5,11,"A Muslim boat attack kills five Christians and wounds eleven others."
"223",2002-05-27,"USA","Denton, TX",1,0,"Muslim snipers kill a man as he works in his yard."
"224",2002-05-27,"Israel","Petah Tikva",2,37,"Fatah takes credit for killing a 14-month-old baby and her grandmother near an ice-cream parlor in an attack that also injured thirty-seven."
"225",2002-05-28,"Israel","Itamar",3,2,"Palestinian gunman kills three teenagers and injures another two. All youths were playing basketball in their community at the time."
"226",2002-05-28,"India","Sharat Shopian",2,0,"The Mujahideen murder two sisters."
"227",2002-05-30,"Pakistan","Karachi",1,0,"The female principle of a private school is shot to death by Islamists as she is walking to the building."
"228",2002-05-30,"India","Thanna Mandi",2,1,"A female police officer and a civilian are killed in a Mujahideen attack."
"229",2002-05-30,"India","Thuru",2,0,"Two security personnel are killed in a Jihad ambush."
"230",2002-05-30,"India","Doda",3,3,"A Fedayeen attack on a police station leaves three officers dead and three injured."
"231",2002-05-31,"India","Gonikhan",1,16,"A Jihadi kills a young child and injures sixteen others with a grenade."
"232",2002-05-31,"India","Srinagar",0,14,"Fourteen people are critically injured in a grenade attack by a militant Muslim."
"233",2002-06-01,"India","Anantnag",0,18,"Three women are among eighteen victims of a grenade attack on a city street."
"234",2002-06-02,"England","Orpington, Kent",1,0,"33-year-old British man beaten to death by a Muslim gang."
"235",2002-06-02,"Philippines","Jolo",1,2,"Abu Sayyaf militants abduct three sailors and hold them for nearly a year.  Two escape and one is executed."
"236",2002-06-02,"India","Kashmir",2,0,"Two civilians are murdered is separate Mujahideen attacks (Gudder & Botingo)."
"237",2002-06-03,"India","Dureja",1,0,"Muslims kill a woman for granting official approval to an inter-religious marriage."
"238",2002-06-05,"India","Bangalore",2,0,"A Christian man and his Muslim wife are captured and hacked to death by her family for marrying outside Islam.  Their one-year-old baby is spared."
"239",2002-06-05,"India","Kashmir",3,0,"Three civilians are killed by Jihadis in separate attacks."
"240",2002-06-05,"Indonesia","Tentena",4,17,"A bomb planted by Muslim radicals explodes on a church bus killing four, including the pastor, and wounding seventeen."
"241",2002-06-05,"Israel","Afula",17,38,"Seventeen people killed by a Muslim suicide bomber while riding in a bus. Thirty-eight others were injured."
